Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,Images,In stock?,Stock,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible
simple,20G_SILVER_COIN_999,20g SILVER COIN 999,1,0,visible,999,"<p>20g SILVER COIN 999</p>
<p>999</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",50,Silver Coins,999,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_115fe1af32a2437785aa27a71ec7a4dcmv2-1.webp,1,,Purity,999,1,Brand,,1
simple,10G_SILVER_COIN_999,10g SILVER COIN 999,1,0,visible,999,"<p>10g SILVER COIN 999</p>
<p>999</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",25,Silver Coins,999,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_984011401cdf460085b7996412bc3a53mv2.webp,1,,Purity,999,1,Brand,,1
simple,8G_SILVER_COIN_999,8g SILVER COIN 999,1,0,visible,999,"<p>8g SILVER COIN 999</p>
<p>999</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",20,Silver Coins,999,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_ac0522195d434c6f96b76077bf03ad84mv2.webp,1,,Purity,999,1,Brand,,1
simple,4G_SILVER_COIN_999,4g SILVER COIN 999,1,0,visible,999,"<p>4g SILVER COIN 999</p>
<p>999</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",10,Silver Coins,999,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_80b7cbe77c1948de8a1f53ee227e2308mv2.webp,1,,Purity,999,1,Brand,,1
simple,2G_SILVER_COIN_999,2g SILVER COIN 999,1,0,visible,999,"<p>2g SILVER COIN 999</p>
<p>999</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",5,Silver Coins,999,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_f40dfd8bea9942cbb4f178540ada675amv2.webp,1,,Purity,999,1,Brand,,1
simple,1G_SILVER_COIN_999,1g SILVER COIN 999,1,0,visible,999,"<p>1g SILVER COIN 999</p>
<p>999</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",3,Silver Coins,999,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_b0aa3e6d44f9421c93a3061b4d87157bmv2.webp,1,,Purity,999,1,Brand,,1
simple,10G_GOLD_COIN_24K,10g GOLD COIN 24K,1,0,visible,24K,"<p>10g GOLD COIN 24K</p>
<p>24K</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",1180,Gold Coins,24K,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_525327641dc04591922f89ea58c6b6b9mv2.webp,1,,Purity,24K,1,Brand,,1
simple,10G_GOLD_COIN_22K,10g GOLD COIN 22K,1,0,visible,22K,"<p>10g GOLD COIN 22K</p>
<p>22K</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",1050,Gold Coins,22K,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_b3f8db086f444833a431bfa4704ea05amv2.webp,1,,Purity,22K,1,Brand,,1
simple,8G_GOLD_COIN_24K,8g GOLD COIN 24K,1,0,visible,24K,"<p>8g GOLD COIN 24K</p>
<p>24K</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",944,Gold Coins,24K,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_b55937462b8c4fc6ae0f5148c3e7031fmv2.webp,1,,Purity,24K,1,Brand,,1
simple,8G_GOLD_COIN_22K,8g GOLD COIN 22K,1,0,visible,22K,"<p>8g GOLD COIN 22K</p>
<p>22K</p>
<p><em>Dummy price for testing — live spot rates apply at checkout.</em></p>",840,Gold Coins,22K,https://lavenderblush-cheetah-517173.hostingersite.com/wp-content/uploads/2026/05/8f1290_0e787050e81d4e62b69d367320f8ab8dmv2.webp,1,,Purity,22K,1,Brand,,1
